coin,hour,hourly_range
1INCH,0,0.005129032258064516
1INCH,1,0.005123333333333335
1INCH,2,0.004486666666666665
1INCH,3,0.005660000000000001
1INCH,4,0.004240000000000003
1INCH,5,0.005073333333333333
1INCH,6,0.0053200000000000035
1INCH,7,0.005080000000000002
1INCH,8,0.005330000000000001
1INCH,9,0.004280000000000005
1INCH,10,0.003799999999999997
1INCH,11,0.0037433333333333346
1INCH,12,0.004636666666666665
1INCH,13,0.004740000000000002
1INCH,14,0.007659999999999999
1INCH,15,0.005793333333333333
1INCH,16,0.005373333333333335
1INCH,17,0.004493333333333331
1INCH,18,0.0045766666666666655
1INCH,19,0.003986666666666664
1INCH,20,0.004236666666666667
1INCH,21,0.005313333333333328
1INCH,22,0.0053133333333333305
1INCH,23,0.003626666666666666
A,0,0.01871612903225806
A,1,0.005386666666666677
A,2,0.004889999999999998
A,3,0.0041733333333333214
A,4,0.006363333333333327
A,5,0.005133333333333323
A,6,0.004766666666666658
A,7,0.005453333333333325
A,8,0.005876666666666661
A,9,0.005273333333333332
A,10,0.0046800000000000045
A,11,0.004816666666666665
A,12,0.0076866666666666585
A,13,0.006190000000000012
A,14,0.010923333333333339
A,15,0.007203333333333334
A,16,0.007829999999999997
A,17,0.0051066666666666535
A,18,0.005863333333333328
A,19,0.005346666666666658
A,20,0.006020000000000005
A,21,0.006636666666666661
A,22,0.005543333333333343
A,23,0.004806666666666678
AAVE,0,4.161290322580645
AAVE,1,3.7813333333333343
AAVE,2,3.3466666666666613
AAVE,3,2.9883333333333364
AAVE,4,3.3319999999999963
AAVE,5,3.3779999999999952
AAVE,6,3.523666666666668
AAVE,7,3.7716666666666705
AAVE,8,3.3606666666666682
AAVE,9,3.0166666666666684
AAVE,10,3.394999999999995
AAVE,11,3.1143333333333305
AAVE,12,3.606000000000001
AAVE,13,4.503000000000003
AAVE,14,5.6596666666666655
AAVE,15,4.681666666666669
AAVE,16,4.43333333333334
AAVE,17,4.59133333333333
AAVE,18,3.6219999999999897
AAVE,19,3.6866666666666634
AAVE,20,3.6106666666666682
AAVE,21,4.187666666666672
AAVE,22,3.775333333333336
AAVE,23,2.9966666666666697
AB,0,5.599999999999982e-05
AB,1,5.6299999999999986e-05
AB,2,6.033333333333336e-05
AB,3,5.5599999999999976e-05
AB,4,7.096666666666669e-05
AB,5,5.406666666666673e-05
AB,6,5.9066666666666756e-05
AB,7,5.77e-05
AB,8,6.036666666666656e-05
AB,9,4.97333333333334e-05
AB,10,6.49999999999999e-05
AB,11,6.619999999999994e-05
AB,12,6.880000000000006e-05
AB,13,7.986666666666657e-05
AB,14,7.889999999999998e-05
AB,15,6.969999999999992e-05
AB,16,7.086666666666683e-05
AB,17,5.5899999999999814e-05
AB,18,6.443333333333336e-05
AB,19,5.453333333333311e-05
AB,20,4.6900000000000124e-05
AB,21,5.160000000000008e-05
AB,22,5.7700000000000115e-05
AB,23,5.266666666666666e-05
ADA,0,0.012103225806451613
ADA,1,0.012093333333333338
ADA,2,0.009736666666666664
ADA,3,0.008533333333333334
ADA,4,0.009819999999999992
ADA,5,0.010133333333333331
ADA,6,0.01031333333333333
ADA,7,0.011586666666666667
ADA,8,0.010436666666666653
ADA,9,0.010340000000000005
ADA,10,0.009583333333333343
ADA,11,0.009650000000000011
ADA,12,0.012346666666666683
ADA,13,0.012373333333333337
ADA,14,0.016963333333333337
ADA,15,0.013753333333333333
ADA,16,0.012806666666666666
ADA,17,0.01117000000000001
ADA,18,0.010293333333333328
ADA,19,0.010829999999999996
ADA,20,0.011566666666666663
ADA,21,0.011413333333333324
ADA,22,0.010896666666666673
ADA,23,0.00795666666666666
AERO,0,0.013777419354838708
AERO,1,0.012776666666666665
AERO,2,0.012456666666666671
AERO,3,0.01028666666666666
AERO,4,0.011680000000000005
AERO,5,0.012816666666666659
AERO,6,0.012136666666666665
