coin,max_drawdown,date_of_max_dd
1INCH,-0.3149249504389692,2025-08-01
A,-0.21928559987185645,2025-08-02
AAVE,-0.2384951293248237,2025-08-02
AB,-0.10577346848832092,2025-08-05
ADA,-0.2285651067595973,2025-08-02
AERO,-0.2483413289782586,2025-08-05
AIOZ,-0.3127272727272728,2025-08-06
AKT,-0.2592833876221498,2025-08-02
ALGO,-0.2859384808537351,2025-08-02
AMP,-0.1990632318501172,2025-08-02
APE,-0.2572882288228822,2025-08-02
APT,-0.24771814530850664,2025-08-02
AR,-0.28366103253995617,2025-08-02
ARB,-0.24099608973039716,2025-08-02
ATH,-0.21166484118291343,2025-08-02
ATOM,-0.21121603391790328,2025-08-02
AVAX,-0.1999232540291634,2025-08-02
AXL,-0.2711259754738015,2025-08-02
AXS,-0.25250431778929183,2025-08-02
B,-0.22197192860855997,2025-07-27
BBSOL,-0.22883720930232557,2025-08-02
BCH,-0.11806791787464181,2025-08-02
BDX,-0.045430809399477766,2025-08-07
BEAM,-0.3157675484274109,2025-08-02
BGB,-0.1415857605177994,2025-08-02
BNB,-0.12740324816091542,2025-08-02
BNSOL,-0.22760511882998175,2025-08-02
BONK,-0.374191880010344,2025-08-05
BRETT,-0.2803681907348724,2025-08-02
BSV,-0.19413452343002868,2025-08-02
BTC,-0.06229763338012967,2025-08-02
BTT,-0.13513513513513511,2025-08-02
BUSD,0.0,2025-07-08
CAKE,-0.1850891410048623,2025-08-02
CBETH,-0.12550892595844307,2025-08-02
CFX,-0.23087248322147655,2025-07-23
CHZ,-0.19589632829373654,2025-08-02
CMETH,-0.11139596145512272,2025-08-02
COMP,-0.18208844295800813,2025-08-01
CORE,-0.24302134646962228,2025-08-02
CRO,-0.1533742331288343,2025-08-02
CRV,-0.21519563239308456,2025-08-02
CTC,-0.22032407988946112,2025-08-02
CVX,-0.35801011804384486,2025-08-02
DAI,-0.001198801198801067,2025-07-31
DEEP,-0.36170212765957444,2025-08-02
DEXE,-0.132539184952978,2025-08-02
DOGE,-0.30266520627966403,2025-08-02
DOT,-0.2295694200351493,2025-08-02
DRIFT,-0.29158851536574815,2025-08-02
DYDX,-0.24104741684359518,2025-08-02
EGLD,-0.24189114898295777,2025-08-02
EIGEN,-0.3081882656350741,2025-08-02
ENA,-0.22197342886998067,2025-08-02
ENS,-0.21362030195952453,2025-08-02
EOS,-0.222275641025641,2025-08-02
ETC,-0.2227622519238558,2025-08-02
ETH,-0.12408495348621101,2025-08-02
ETHFI,-0.31097922848664694,2025-08-02
FARTCOIN,-0.46181055155875295,2025-08-02
FDUSD,-0.0017015313782404512,2025-08-01
FET,-0.26823473509147067,2025-08-02
FIL,-0.2250255710876235,2025-08-02
FLOKI,-0.32584269662921345,2025-08-02
FLOW,-0.21992898357745233,2025-08-02
FLR,-0.11713147410358572,2025-08-01
FRAX,-0.15397631133671738,2025-08-07
