coin,pearson,spearman
1INCH,0.48117577940501555,0.32643520120108743
A,0.0614741951452282,0.177865631360367
AAVE,0.42091605784458797,0.3648688032727947
AB,0.15208918828105078,0.20958811672966282
ADA,0.4504644409839149,0.38652297841513994
AERO,0.5589866650194815,0.43746471102849543
AIOZ,0.4231935726792078,0.33366219618498627
AKT,0.7010090266665899,0.4074377424462529
ALGO,0.5207580925779641,0.4198253312626733
AMP,0.49795156834694704,0.25976388144218127
APE,0.1907255595234715,0.28290996101291477
APT,0.38000261065622354,0.32012653462407886
AR,0.3470621517442749,0.326816055068733
ARB,0.39316572059458715,0.3967404734076477
ATH,0.20022392328374072,0.27793740742606016
ATOM,0.3121943486985212,0.3043003736667029
AVAX,0.4108648061533217,0.41645371675272475
AXL,0.4814561061228967,0.2230007509511139
AXS,0.12231493284372005,0.26153469399808915
B,0.626754976335556,0.44430345657368614
BBSOL,0.2431603982583159,0.24497549578888556
BCH,0.5778102929875197,0.4094447198650717
BDX,0.21990467661847493,0.1134525993475271
BEAM,0.0015464143073667348,-0.028830582391788016
BGB,0.1198023099643534,0.08684407451425498
BNB,0.4210610233714425,0.3967118119669668
BNSOL,0.1253380627381,0.26291310545459495
BONK,0.48678957066116646,0.485126606961409
BRETT,0.3637799309351719,0.35516620610195165
BSV,0.6187482223775261,0.37394527849974674
BTC,0.3311618532475352,0.47234678307635625
BTT,0.1926606694075514,0.15682797746210364
BUSD,,
CAKE,0.13538889582297617,0.28775741974808583
CBETH,0.2379421075366552,0.3013579308602061
CFX,0.00021745001911844145,0.144316429981753
CHZ,0.1695336902761989,0.24881124970837223
CMETH,0.27312894635066004,0.28194524552194994
COMP,0.47027572213932756,0.3480864798434508
CORE,0.2522416680318272,0.38344628013373083
CRO,0.514555045622829,0.3823687901562799
CRV,0.543285056674699,0.4230870955457945
CTC,0.06320772688568035,0.5991053947450263
CVX,0.46667799273512867,0.35555811114584884
DAI,-0.03441085813690752,-0.021051688906324056
DEEP,0.08262691252138832,0.39568950688916527
DEXE,0.2971626907351424,0.35803071261803926
DOGE,0.2684614780102544,0.1165230275682428
DOT,0.4016720852447002,0.3772912147196198
DRIFT,0.601741058440362,0.35760016211573153
DYDX,0.08974531471913434,0.2397703846962342
EGLD,0.18960568310243428,0.265304917649982
EIGEN,0.12677980679650372,0.3274845840795385
ENA,0.4020171085213284,0.3708290149147953
ENS,0.5460760405006508,0.389259693928536
EOS,0.2932417096624276,0.27083586483247424
ETC,0.5509293455995259,0.3907242116196019
ETH,0.5359820820137108,0.4645887305595368
ETHFI,0.19475295001003307,0.24926270793903818
