hour,spikes,median_mag_pct
0,36,4.429036330195535
1,30,4.710677373646344
2,30,5.490767546426866
3,36,4.590060281018948
4,36,4.590770135173273
5,42,-4.0498786780336085
6,29,4.90837696335078
7,14,5.097342804525118
8,27,4.734848484848486
9,27,5.906735751295322
10,24,-4.75568443228756
11,32,5.082735977717556
12,34,4.349309314901295
13,35,4.774897680763979
14,87,4.402095174412124
15,42,4.1424590853776255
16,49,4.406779661016946
17,32,4.26147329731471
18,26,5.681332429547414
19,29,4.559707342565988
20,19,-4.066233494026406
21,54,4.957822075204077
22,19,-4.521414497563003
23,13,4.925209777453476
